Kundennummer,Kundenname,Kundenalter,Jahreseinkommen,Kreditsumme,Kreditwuerdig
4b66b69b-79c2-4d59-9a47-d2d76c42404a,Blaszczak,56.56,75545.78,108014.32,true
19097a5a-0f40-4fc8-9e6f-cf297054f53b,Kendall,37.72,78855.01,355018.83,true
7c948f93-3ee0-4769-aa60-3d6357e3f399,Codeman,68.83,72476.31,97543.68,false
6a701ec7-f798-4641-9743-3b65f2dcdc61,Caffery,79.43,61146.57,182800.24,true
21795ed5-4dfc-407e-bb60-a69614fc8765,Hickisson,27.38,91654.81,366096.83,true
89544e7e-aae7-4627-ba93-984dd10433f9,Dalinder,52.99,37126.65,428824.76,true
9044b126-69c4-48e7-8460-03084ec5a871,Stanistrete,62.81,49790.01,298544.44,false
cd232dc6-7e62-46f1-9f61-592324bac25d,Huscroft,86.90,86827.38,100310.15,true
b192bb38-249e-48b4-8f4c-67b7c313f337,Casassa,89.86,81954.84,87282.06,false
3a0bf248-ab20-495f-96df-8fae60aa7893,Stendell,20.33,96932.99,148107.52,false
7a7e5d47-0d8a-4248-aa44-060aded12266,James,62.75,50375.10,157411.61,false
e0e51fd6-3363-4d51-9464-b730e5f5b20f,Stallard,37.83,50893.52,409958.98,false
4bbeb13e-7dc2-4a85-b771-e54bcb711229,Verry,78.87,61772.70,126281.30,false
d688517e-ea74-4607-beb4-078b99991f14,Draysey,28.58,94481.42,292823.21,true
e87fa13f-0fc3-4364-a2fb-c1b0ffa4c5ea,Banham,54.35,71663.02,145914.23,true
873ad73c-19c0-434f-ac35-3e3df28fd733,Fortey,59.74,69671.48,365366.28,false
a41ffb0b-f77d-4e43-b529-743821beddc4,Trengove,33.68,99392.26,276078.22,false
612b6a0e-ab40-44cb-a2ea-04d1eefa5956,Batistelli,70.47,40958.04,234050.81,false
f5779c55-fcc9-4fe3-9e8d-b4ff12fea651,Twigley,72.56,47779.49,405442.32,true
5b8f7a40-be5d-4e0f-bbf8-19a8d726fe85,Struther,67.33,61114.49,177155.91,true
d6be02d3-e0e4-498d-b4cd-53667d9b217e,Halvosen,65.00,44902.32,377674.87,true
47ef8904-2975-4da2-9b9e-8d88d7138294,Grealish,69.94,88434.33,172121.30,false
1eb2d3c7-f13b-4122-bf9e-1af74b1b87bf,Polhill,39.65,86118.15,411476.44,true
a2e3404e-7170-4c72-869e-f77d18653750,Gisby,84.85,41909.97,255741.35,true
cc7ea0ac-fb6d-47c3-8d0a-16c5db867306,Lauder,93.49,53159.19,68336.07,false
92d0e66c-1a00-4371-9ec4-a2e8696fbffd,Iacovaccio,66.39,56459.17,174520.79,true
2fae7a58-6687-47b6-a9c4-fb6c618b1526,Bredes,89.93,53377.59,61232.83,false
8edf982f-1956-461e-a85a-442875da8b0c,Corke,29.44,40373.43,333277.75,true
697a99eb-f09d-4d07-914f-d35b934625b5,Blamire,96.65,71289.54,311926.23,false
475879e7-468f-4c7e-b07d-e189ac407230,Dewhurst,20.23,95025.37,389370.55,false
dd880d34-e9b7-4435-a786-10b4b389654c,Benitti,49.86,94538.67,305452.91,true
b35d41af-e152-4b5e-baec-dda4b5ee1b82,Kuban,54.52,56223.22,194383.70,false
64a5e957-11e8-4b68-a1df-c4255f176f56,Gosneye,95.65,59986.14,322453.99,true
f2044570-2bda-4e71-a393-ec43db657e1e,Hanalan,37.36,59309.62,360041.24,true
2c00a28c-a256-470b-8492-026dd57aa198,Mattheus,76.49,91401.93,378946.10,false
cfd0c203-ebe3-4820-9c04-111e33748acc,Camilio,20.27,56822.52,114577.39,false
98f5028d-ee13-4a2e-b42a-e1f15175b950,Redmell,67.73,49980.30,275729.04,false
6445f256-079e-4457-8582-18daa39c928d,Antyukhin,55.12,56077.55,76483.76,false
2c941bfd-31e4-4001-bf4e-c153b38a0cca,O'Deoran,87.08,94554.13,311583.76,false
59ce7cd9-32e1-46f2-b471-a8603c0124bb,Trowell,18.20,53500.69,97477.04,true
53efaae4-1135-49f7-a5f6-6b6199283dfc,Eldred,81.81,35352.64,125352.82,false
7ef91a5e-120b-4649-95b9-212378de1741,Wilfing,51.96,94943.85,255267.09,false
857205f7-59d2-4908-a9e8-44b73d46d3ac,McCaskill,83.29,88548.37,257116.60,true
be7a835e-697c-48ec-a4d5-b22fee35f2d2,Murney,49.37,92855.91,165947.13,true
f2340425-eb96-42ff-ade1-7c6348e2526d,Botterell,90.69,59505.96,226282.85,true
185bf89a-f079-4d05-93f8-3e30457124b2,Eton,44.94,78679.01,96133.80,false
e43f73de-fbeb-4782-871b-68b12d3f6d02,McMurraya,44.49,32969.90,296087.31,false
330744f9-7c04-443d-8a8c-eb1a9d85a1ba,Idwal Evans,50.83,30587.73,293030.37,true
c736c42c-8f59-499c-8547-ecb7ac4ccefe,Bensusan,22.89,84549.02,208672.41,true
7358f151-baa4-4631-9e46-a622c0fa4f13,Buttel,93.67,54895.19,388579.39,true
ac3d7f8c-5420-4c4a-9727-8a5143a622ec,Burree,51.35,61834.79,416566.19,true
5b9186b0-b912-45d4-868d-c213131e9f00,Doorly,66.30,32657.46,382183.91,false
71a9963f-d0e5-4390-bd90-a61b660d9343,Franchioni,75.33,97355.50,396216.87,true
cc3780ac-1c84-45d5-91d6-cf75078d0423,Martynka,32.03,61771.39,338850.99,false
30b0ba02-8fe8-4f39-9bb7-ad1f435e90b7,Quail,20.84,71767.02,278091.00,false
5705178b-3830-4304-9ad8-d4441f5ec18d,Dolden,78.53,94753.97,272354.99,true
809254ce-4c47-4ac3-81e0-3be95761f454,Berdale,81.10,95379.27,90259.28,true
29164c94-d366-4460-a107-75d81a97ecda,Kinnier,76.37,33340.09,385341.21,true
cccfd1cf-a038-4649-bf10-326c21d1f449,Cabrer,70.74,47831.57,241771.73,true
03e4a1af-0234-4110-8ec6-76538137bee0,Deares,86.17,77679.68,349408.11,false
b0db66e0-6568-4bca-96c8-fe2ed8847205,Fitt,18.36,64994.90,253926.90,false
58871e2d-aec2-4e45-bdec-ef389363f1fd,Glisenan,98.71,82738.94,336482.23,false
bf810b32-7302-4813-94cf-3cfc8c5ff3b9,Longland,78.61,74660.79,202039.30,true
a57b94c5-f5aa-48cc-96ea-58404ce241d9,De Ruggero,86.24,33240.35,283038.20,true
65218798-bd97-4e70-b461-30bbc988d899,Carletto,46.01,50820.06,411885.03,false
db372985-6785-44c0-b589-c2f1a21c9751,Wackett,55.20,82536.60,65640.05,true
4efeef36-2785-489b-9941-bcbafde4df55,Moggle,44.62,77358.39,98341.39,false
cae528c6-d80b-4d9b-9f51-3e23b8557cb2,Roocroft,86.29,55249.13,146626.64,false
9e460d13-10c2-4b62-a28b-6f79718209c5,Ammer,47.68,65100.07,420551.22,true
6ceac789-3db6-41d5-a3cb-3916ea4cb2e1,Klainer,23.25,94728.14,338454.96,false
b4ad566d-42e2-46ce-ad28-00a4249095de,Paddell,81.71,64675.18,139307.49,false
7951fa45-40aa-48fa-9c5d-f9687bf20b7c,Faro,64.30,77404.73,195236.91,true
fbfa49dc-2f8f-4dc2-ad94-9d3c1050b68c,Butchart,86.59,95078.63,70793.23,true
f9aa3ce3-f92d-4a62-8051-d26fe293f0a0,Candie,21.88,31542.02,242039.18,true
cb4a0597-66a6-4de8-8291-1a5b13ef553e,Gemnett,37.28,80150.92,155685.07,false
dbe4203b-5f8c-4c3a-81db-5f1fb53d5fa0,Gradwell,95.72,51465.58,128700.47,false
90db39ce-93d8-4604-b6db-879fdc3a8ebf,Hatt,33.04,73996.15,173174.51,true
da94b4b7-1cea-4801-bf1b-5b94adcb4163,Deniso,63.90,76306.81,378171.53,true
cd3be5cb-e4d0-44a7-a373-63ef26be7e5d,Kearton,78.07,62631.86,238362.97,false
be2db530-9941-44f4-8101-131bcecdcce2,Barczewski,91.78,92577.68,444372.40,false
db716370-37d7-4931-a624-527b5984654e,Donisi,56.31,31895.35,307149.11,false
b4cef476-bfb9-428d-b911-8b2e1e18d1bd,McNair,19.45,44927.77,392965.51,false
1c92bb28-5dfa-473e-91fb-f11468a60f83,Bestwick,84.64,76226.72,118472.84,false
2841be9e-cc41-42b7-844f-17fa43d51f25,Anthonies,35.57,39135.32,252383.75,true
86ef5d96-bec5-4d00-a7e9-fd3535694812,Karleman,42.73,31627.47,108389.62,true
086b00ab-28ce-4950-8681-4a2542ac02c6,Lumsden,21.55,41955.19,253391.11,true
c0f03276-9525-4d3e-848a-e7b9e1d46ab4,Basson,20.61,99791.52,185480.50,false
6211c0c1-fc01-463e-8313-3dce590ab4dd,Churchin,50.44,90824.06,388505.62,false
2cdfce0d-32b9-4514-bdca-af3e1616c3c4,Casbon,25.53,37974.18,422791.35,false
81b1ff5a-4542-4018-b1dc-dd44e21c8b21,Blackesland,39.77,98652.75,241299.20,true
07255510-44cb-49c8-b079-7e9fc87bd3ef,D'Ruel,65.04,44904.67,417807.61,false
b06dd974-310e-4fe3-bca4-93b1bb839b65,Wheowall,94.58,56315.89,166827.10,true
479c37f6-df19-4d0c-b25c-714ad36184d3,Horry,98.38,70294.88,438018.13,false
9f178db3-433a-465c-89d0-f34ff6f4241c,Troyes,81.54,90315.80,347714.29,true
e2e97503-7242-4df5-b036-f9178496a0bb,O'Curneen,99.85,59196.19,115846.57,true
9569fd04-e3c9-4c13-bc9b-c6ad87373b2b,Jolly,36.93,51004.30,385061.99,false
9ef2ec2d-21d8-4dc7-8444-ed99be3082ad,Dimbylow,33.24,64004.74,429440.33,false
9dca9437-57fb-4a7e-be60-5c99de9235a6,Lamartine,48.93,70789.79,223731.88,false
9b6ab4ff-eee9-4bf1-9aeb-1f26e94b5e82,Chanter,82.25,36259.57,182877.78,false
4b7b3a68-a208-4881-bf75-86acdb1d01ad,Hussy,28.66,43149.63,213082.02,true
9fdf7cff-fc1d-41cc-8cef-c644e194ab67,Anderbrugge,80.49,71968.35,424766.32,false
90c82150-b5e4-4958-81f0-27bfdd80490f,Phillott,71.74,78276.17,345222.69,false
06da59fb-d7ed-402f-ab10-5416b392cd62,Gregolin,79.31,45744.94,432107.53,true
f4109d3d-b599-4961-a555-307e411cedd4,Tuplin,30.35,51000.02,223945.67,false
344a1b6a-fb23-4543-a3c1-c13c6b2def0f,Piggens,79.54,88858.57,212745.84,false
63672ea9-4453-43d5-a187-68711c1b1497,Oppery,26.61,50202.67,383354.16,false
a3a385e2-3bbe-4802-9e6f-c0c136376ec3,Arthars,79.71,45244.04,347469.10,true
7c7d5cb1-9d35-454b-b06c-1a132e010797,Kenefick,39.39,74916.35,241252.76,false
547f9b70-b188-457a-be80-b18360f307a0,Petrolli,41.21,55870.88,233102.13,true
